"","labeled_distinct_regions","name_with_luxury","room_type","minimum_nights","number_of_reviews","reviews_per_month","availability_per_day"
"286",5,1,"Entire home/apt",2,131,2.85,0.849315068493151
"287",3,1,"Private room",1,1,0.02,0
"288",3,1,"Private room",1,4,0.09,0
"289",3,1,"Entire home/apt",6,2,0.05,0
"290",3,1,"Entire home/apt",30,0,0,0.956164383561644
"291",3,1,"Entire home/apt",1,0,0,0
"292",3,1,"Entire home/apt",30,1,0.03,0.504109589041096
"293",3,1,"Private room",1,0,0,0
"294",2,1,"Entire home/apt",2,77,1.77,0.750684931506849
"295",3,1,"Entire home/apt",30,0,0,1
"296",3,1,"Entire home/apt",30,0,0,0.504109589041096
"297",3,1,"Entire home/apt",30,2,0.05,0.997260273972603
"298",3,1,"Private room",3,0,0,0
"299",3,1,"Entire home/apt",7,34,0.78,0.402739726027397
"300",3,1,"Entire home/apt",1,0,0,0
"301",3,1,"Entire home/apt",1,8,0.23,0
"302",3,1,"Private room",1,0,0,0
"303",3,1,"Entire home/apt",5,0,0,0
"304",3,1,"Entire home/apt",30,0,0,0.482191780821918
"305",3,1,"Entire home/apt",1,177,4.05,0.249315068493151
"306",3,1,"Entire home/apt",7,0,0,0
"307",3,1,"Private room",3,7,0.22,0.868493150684931
"308",3,1,"Entire home/apt",20,0,0,0
"309",3,1,"Private room",4,0,0,0
"310",3,1,"Entire home/apt",1,52,1.2,0.202739726027397
"311",3,1,"Entire home/apt",1,1,0.02,0
"312",3,1,"Private room",1,0,0,0
"313",2,1,"Private room",3,1,0.02,0
"314",2,1,"Entire home/apt",2,19,0.45,0
"315",3,1,"Entire home/apt",1,152,3.43,0.547945205479452
"316",2,1,"Entire home/apt",10,11,0.27,0.619178082191781
"317",3,1,"Entire home/apt",30,2,0.06,0.90958904109589
"318",3,1,"Entire home/apt",5,49,1.15,0.687671232876712
"319",3,1,"Entire home/apt",2,2,0.05,0
"320",3,1,"Private room",1,1,0.02,0
"321",3,1,"Entire home/apt",3,2,0.05,0
"322",4,1,"Entire home/apt",5,1,0.03,0
"323",3,1,"Entire home/apt",30,1,0.04,0.90958904109589
"324",3,1,"Entire home/apt",2,6,0.14,0
"325",4,1,"Entire home/apt",3,0,0,0
"326",3,1,"Entire home/apt",3,4,0.09,0
"327",3,1,"Private room",5,0,0,0.0219178082191781
"328",2,1,"Entire home/apt",13,0,0,0
"329",3,1,"Entire home/apt",1,0,0,0
"330",3,1,"Entire home/apt",3,97,2.22,0.128767123287671
"331",3,1,"Entire home/apt",3,23,0.54,0.0465753424657534
"332",3,1,"Private room",3,0,0,0
"333",2,1,"Private room",1,0,0,0
"334",3,1,"Entire home/apt",3,17,0.46,0
"335",3,1,"Entire home/apt",1,0,0,0
"336",3,1,"Entire home/apt",2,0,0,0
"337",3,1,"Entire home/apt",30,1,0.07,0.994520547945206
"338",3,1,"Entire home/apt",2,6,0.15,0
"339",3,1,"Entire home/apt",30,1,0.06,0.747945205479452
"340",3,1,"Entire home/apt",30,0,0,0.961643835616438
"341",3,1,"Entire home/apt",30,0,0,0.964383561643836
"342",3,1,"Entire home/apt",1,0,0,0
"343",3,1,"Entire home/apt",30,1,0.02,0.342465753424658
"344",2,1,"Private room",2,6,0.14,0
"345",2,1,"Entire home/apt",1,0,0,0
"346",3,1,"Entire home/apt",1,1,0.02,0
"347",3,1,"Entire home/apt",29,4,0.11,0.4
"348",3,1,"Entire home/apt",30,5,0.12,0.342465753424658
"349",3,1,"Entire home/apt",90,1,0.02,0.991780821917808
"350",3,1,"Entire home/apt",1,65,1.56,0.50958904109589
"351",3,1,"Private room",28,22,0.52,0.715068493150685
"352",3,1,"Private room",1,0,0,0
"353",3,1,"Entire home/apt",2,59,1.38,0.106849315068493
"354",4,1,"Entire home/apt",1,103,2.67,0.887671232876712
"355",2,1,"Private room",5,0,0,0
"356",3,1,"Private room",1,3,0.16,1
"357",3,1,"Private room",1,1,0.02,0
"358",3,1,"Entire home/apt",1,0,0,0
"359",3,1,"Entire home/apt",2,59,1.47,0.506849315068493
"360",2,1,"Private room",3,0,0,0
"361",3,1,"Private room",1,0,0,0
"362",2,1,"Entire home/apt",1,2,0.05,0
"363",2,1,"Shared room",1,1,0.03,0
"364",2,1,"Entire home/apt",5,14,0.33,0.00273972602739726
"365",3,1,"Entire home/apt",1,1,0.03,0
"366",3,1,"Private room",1,0,0,0
